"treeID","Z","TreeSpecies","coords.x1","coords.x2","DBH","Biomass"
13314,2.96,2,294414.375,6808251.625,4.45529854960847,2.92963512442891
13315,6.51,2,294463.875,6808251.625,9.32303215826933,16.983521496721
13316,5.43,2,294587.125,6808251.625,7.83758266957468,10.871087919964
13317,7.4,2,294740.125,6808251.625,10.601055768012,23.798392462963
13318,9.57,2,294820.125,6808251.625,14.0413241222807,50.211646444815
13319,14.02,2,295031.125,6808251.625,23.6519261024077,192.331430200467
13320,6.79,2,293603.125,6808251.375,9.71879127587542,18.9329168256485
13321,8.78,1,293831.375,6808251.375,10.7053778751752,33.8825140091105
13322,8.11,1,293838.375,6808251.375,9.9253231704503,28.2006579806012
13323,6.66,1,293866.875,6808251.375,8.29477977375056,18.45650464512
13324,13.1,1,293900.625,6808251.375,16.4366577371839,98.9157351130356
13325,8.42,1,294072.125,6808251.375,10.2837087682314,30.725460351539
13326,7.44,1,294221.375,6808251.375,9.16373500673816,23.3031227800815
13327,2.09,1,294226.875,6808251.375,2.84773653623653,2.53155536109211
13328,13.29,1,294283.875,6808251.375,16.7264207437848,103.375385432175
13329,7.95,1,293600.125,6808251.125,9.74192339787489,26.9638156958199
13330,15.21,1,293646.625,6808251.125,19.9008695302506,159.981678040472
13331,3.79,1,293743.375,6808251.125,5.1088279376115,6.56696928692543
13332,8.58,1,293780.875,6808251.125,10.4703582585337,32.0977772741219
13333,20.88,1,293954.375,6808251.125,33.3204475883973,548.631542275622
13334,23.12,1,293998.625,6808251.125,41.5515212649585,883.72167964427
13335,19.97,1,294023.625,6808251.125,30.5882614343466,451.665169657949
13336,8.32,1,294058.625,6808251.125,10.1676441468476,29.892027276256
13337,19.72,1,294122.875,6808251.125,29.8869747700976,428.108561116956
13338,6.93,1,294989.875,6808251.125,8.59383093872195,20.0382903483391
13339,7.29,1,293802.125,6808250.875,8.99534384690691,22.3036265960333
13340,19.94,1,293945.875,6808250.875,30.5030489002841,448.772830895615
13341,19.23,1,293958.625,6808250.875,28.5681718769603,385.364050172581
13342,17.99,1,294043.625,6808250.875,25.5247031069428,294.869313654869
13343,11.33,1,294150.375,6808250.875,13.9104996972997,64.940850220562
13344,2.87,2,294431.375,6808250.875,4.32179804671337,2.75275629038109
13345,11.73,2,294497.375,6808250.875,18.1467228909255,98.5290105587467
13346,3.41,2,294535.125,6808250.875,5.10091223695664,3.91038927841689
13347,5.71,2,294546.375,6808250.875,8.21763765301509,12.2612743545062
13348,11.47,2,294638.375,6808250.875,17.6058413449097,91.0886251217702
13349,7.28,2,294927.125,6808250.875,10.4251261718522,22.7695651280425
13350,10.64,2,294964.875,6808250.875,15.9705998811154,70.5804858303651
13351,21.29,1,293995.875,6808250.625,34.6530160629911,598.752640782372
13352,10.58,3,294319.875,6808250.625,16.0306781367902,74.9285681442188
13353,8.25,3,294360.375,6808250.625,10.9199092853184,27.3437204260855
13354,7.44,2,294439.875,6808250.625,10.6599744967668,24.1495941908756
13355,2.25,2,294757.375,6808250.625,3.33287247348729,1.68831971609705
13356,7.26,2,294786.375,6808250.625,10.3959229920439,22.6016503275527
13357,16.75,1,293931.125,6808250.375,22.8379294705956,225.007002661887
13358,9.37,3,294309.625,6808250.375,13.1341973289696,44.6692249711946
13359,5.97,2,294458.375,6808250.375,8.57332416989581,13.6681396710211
13360,14.01,1,293670.125,6808250.125,17.8618920359304,121.987033875842
13361,6.82,1,293797.125,6808250.125,8.47180230006203,19.3821192416689
13362,8.94,1,293834.125,6808250.125,10.8948226716759,35.3677778684476
13363,21.62,1,294098.625,6808250.125,35.7765045229102,642.354870931841
13364,5.28,1,294273.125,6808250.125,6.78004064086947,11.7414140406487
13365,2.04,2,294292.875,6808250.125,2.9523968232294,1.38184678129709
13366,11.06,2,294349.875,6808250.125,16.7814200853451,80.3757963978155
13367,6.62,2,294923.125,6808250.125,9.47788129553699,17.7294965490365
13368,10.51,2,294967.875,6808250.125,15.7261256578579,67.7710528588118
13369,13.5,2,295019.625,6808250.125,22.268200692965,165.744147479417
13370,7.08,3,293615.375,6808249.875,8.95141865340528,16.0691968697336
13371,5.97,1,293675.125,6808249.875,7.53611065310729,14.8312470354869
13372,17.75,1,293914.125,6808249.875,24.9791023775936,279.901456159588
13373,21.13,1,294013.125,6808249.875,34.1249127384465,578.677607163165
13374,20.22,1,294127.125,6808249.875,31.3099362442323,476.488225570684
13375,8.79,1,294174.625,6808249.875,10.7171803008271,33.9738248176861
13376,12.47,2,294379.375,6808249.875,19.7703975796351,122.810808370364
13377,12.34,2,294389.625,6808249.875,19.4756025172095,118.186685642617
13378,13.51,2,294474.875,6808249.875,22.2939783402693,166.221554708737
13379,4.8,2,294915.875,6808249.875,6.98979208237486,8.16959462974199
13380,15.07,2,293770.375,6808249.625,26.7472597539211,258.579252133771
13381,7.34,1,293894.125,6808249.625,9.0513975317565,22.633054919986
13382,21.09,1,294018.625,6808249.625,33.9945242817989,573.763508402082
13383,22.42,1,294114.625,6808249.625,38.7092762149758,761.545529069285
13384,12.49,2,294398.625,6808249.625,19.8161305713124,123.5366742313
13385,7.16,3,294453.125,6808249.625,9.07693271591651,16.6772469806874
13386,10.81,2,294503.625,6808249.625,16.2948533983262,74.4095890165834
13387,10.73,2,293623.125,6808249.375,16.141610996602,72.5853249331472
13388,9.86,3,293719.375,6808249.375,14.2339519077677,55.1502672809623
13389,9.72,1,293811.875,6808249.375,11.838287540826,43.3997589996933
13390,8.53,1,294064.125,6808249.375,10.4119027457602,31.6637213926438
13391,8.6,1,293790.125,6808249.125,10.4937734644806,32.2727413501595
13392,7.03,1,293805.875,6808249.125,8.70501789734193,20.6491773763603
13393,19.73,1,294022.125,6808249.125,29.9146463246473,429.027341802272
13394,13.21,1,294143.375,6808249.125,16.6039327113346,101.475888155093
